Acid_Durability,Strength,Thickness,Elasticity,Class
3.567585850892945,3.6451332845986495,7.992390983631211,5.118039689860556,Good
4.610234290373112,4.0997164811973805,5.950285060420319,5.424584665533256,Bad
2.559292573435278,6.678213104745602,4.7211132565116305,4.97951694375433,Bad
6.145560987077568,2.180273969669882,4.420227445321191,4.421950633982804,Bad
6.704907973529114,7.404580689999073,7.244211041492391,0.0,Good
5.681781374301204,4.237037691079007,8.962178486941907,3.673907434117974,Good
5.014180383735825,4.942815656149685,3.669568862399188,4.50003652186664,Bad
4.046928149747482,5.09398140287543,7.760914765810449,2.5032642340815365,Good
7.590480781683952,4.76139445071103,8.78128617371182,3.6605070072264523,Good
6.110332491076294,5.547461063988083,3.340139628068744,3.022893339525748,Bad
4.115516196723739,6.054939196654837,5.233066446782574,3.7462727280194255,Bad
5.072924288099275,2.504359871381779,10.0,5.252351599898577,Good
3.7711773524223386,7.418992989812001,4.906708501684017,3.6541824703123864,Bad
7.125453238529281,3.4313141886590888,3.8984594156798975,3.9492821938785077,Bad
6.141548422416722,5.112018125608623,6.711713650383953,6.400490560954646,Good
7.801535887249624,6.437163063495275,6.769833900171825,4.201993921551396,Good
8.716792271546366,6.829613398552685,6.799342250771606,4.807078918174858,Good
5.277343678090646,6.834055292907585,2.910079165487631,2.4366610967686655,Bad
7.117922945592569,4.539483642237826,2.437563691183376,4.119310592128612,Bad
2.170799717679513,6.847454945410859,4.821271158400486,4.766102578906088,Bad
6.782730984137409,1.8738916425645495,5.473926154611965,4.366439337493757,Bad
7.263917239338959,2.5393395089784887,3.7055921902335642,4.230350646016289,Bad
4.899008860156319,4.821185164566176,3.1089528689741326,4.549608358719048,Bad
2.427211562902892,8.04765590393628,4.282011669471089,4.516513657384418,Bad
5.582339489420484,5.799069314934886,7.186260092035544,3.946850300945462,Good
9.398919171000294,6.791931888803134,7.581972607841887,4.052846526781315,Good
5.444822772907311,5.480609048005003,2.6456051492792234,3.9438135328930803,Bad
5.741383727091013,5.006856338478269,1.9353644832791757,3.963573636060648,Bad
5.132138714160788,7.485385173530784,5.06065128531323,2.4096987340783254,Good
4.159222716933057,5.139946336731561,5.347394437163154,4.849034230656415,Bad
5.6656654733340925,1.3313158260310596,6.762055537535611,5.480770218848377,Bad
6.620288229685006,5.147648684507722,7.274952188574025,5.630198837578845,Good
2.907629968714265,5.251392023864717,6.107137678537703,5.525302026636728,Bad
6.365068272482456,5.28009665884742,8.291300764703266,3.5782627850111055,Good
6.093917987293799,3.317384621788527,3.602944291578207,5.035496940415718,Bad
7.204389215883707,5.890270799308165,8.121327766325798,2.990090677609926,Good
1.574559282666978,1.944468485620385,8.602825360497148,6.218039621035717,Good
4.941052143247101,4.625349965286823,7.392844730128059,4.132722738936744,Good
3.9463901203309333,1.12986794186894,8.94430349551535,10.0,Good
5.239668709480839,4.622776074779709,6.849930237702969,7.242413217773461,Good
4.103282086027794,4.747622719211163,7.750539213343349,3.614570653340603,Good
4.3244115438596635,3.433379353832851,8.567280015656348,6.128262113413467,Good
2.5461781255609135,5.800795997206243,5.188740607960007,4.973363264728877,Bad
7.698528465037007,5.917518735274473,8.153926207299016,3.1787888039494443,Good
4.483302013617532,4.339333502119352,4.863328783281103,4.986695278434602,Bad
6.653502750293002,6.672687316679093,6.794223398074289,2.143997167880592,Good
5.988678018497304,5.321011781109394,4.864820863575894,3.983286513061194,Bad
4.899328435773861,4.361011448878974,7.028257175794841,6.655963144969056,Good
5.355689788294007,4.326492603071394,4.101679965570268,4.59284955833427,Bad
3.427057578717326,3.885643302318125,8.605661806868278,2.8419225970978164,Good
2.528078219662083,6.5826845747655,3.869169754116709,5.364357644607402,Bad
5.116406867046271,6.131996436958355,6.83667670929181,2.93238958701804,Good
5.25118982990468,3.2926206025824127,5.787901873985407,4.854550040783711,Bad
5.889232710285769,2.5135009632778313,9.964821642484564,6.644362982962667,Good
6.883575735422063,6.03784026393551,7.209829314544716,3.313481694477706,Good
6.063010401349106,4.3090166183766785,4.336865387279686,3.942544814734341,Bad
4.803225499326676,3.808370951635353,5.309055509351296,5.331928201238193,Bad
3.8397683827167346,3.3636816448143563,7.902093317606875,6.8888291323129645,Good
3.484695241118096,7.756046111557565,3.9514443524818352,3.180980125877551,Bad
1.8059786472016195,5.825631785746862,7.786899860916286,5.061253856243592,Bad
5.516107593267694,5.913991883009668,8.112596158559471,2.2506656372767595,Good
6.722550309862182,4.591335177048829,3.713689065411509,3.6650234252547067,Bad
8.042500650927146,4.501468288323773,1.3839096130727544,3.2268423612891617,Bad
4.209773429074334,4.932814156513269,4.98402958638114,4.855411892748551,Bad
5.2783064268657585,5.255220764146641,7.591875458383576,4.496565131850078,Good
3.2903690602418827,5.81951604312144,3.3018223471740193,5.44706199210855,Bad
4.991839812249406,3.4137863844276906,5.388568872719373,5.131293771080443,Bad
5.013680170180753,4.25088913153589,8.337324116812868,4.630308165846143,Good
3.9978691595773794,5.076121483353468,7.192621827276888,3.4314464036365466,Good
4.634572704671063,2.2250811501684393,5.943993383380169,5.809477636457066,Bad
5.585698921330151,7.5275926175200345,5.750611948143489,1.697279870874529,Good
4.067810839251192,4.280740510668074,7.333714012996775,6.136475122425061,Good
7.0677297620788035,5.217304940114575,8.6733888098146,3.8541918862790823,Good
4.876778846026929,4.2010686550491885,8.18294093852402,4.712833778435346,Good
5.123320700945229,2.887859378345659,9.767019243803267,5.351452672534115,Good
5.402424006891194,5.677589715556241,7.313502406812981,3.520055916343729,Good
5.199205038572955,4.645294543061544,7.545128266776235,5.864191079096548,Good
7.842131797005477,6.399942709951815,6.826374357304851,4.267874028306883,Good
4.9747455815759976,4.150090552024567,4.902912301782052,5.129579060969326,Bad
5.861204607301296,2.3307164431309184,9.530655370623766,7.361618174732818,Good
6.0319366223908455,5.072311711056323,7.324516637114153,4.2306520362053455,Good
5.440696021107138,4.294021135968688,9.14173904671314,3.0480417666401105,Good
3.0370058156071384,2.532645362156937,8.625970543351562,6.523846015627277,Good
4.062846155178823,4.947274694669923,5.701493241492895,4.826716718130363,Bad
1.624948742569008,6.972592336391373,4.808153843487668,5.528086211345738,Bad
5.1013165738018476,4.860559768805917,2.6222386019204578,4.702414536686134,Bad
7.14636208121857,4.688818818227783,8.10204096332775,6.299273846936025,Good
5.6035577538726065,3.5519916522555786,3.1539685128464345,5.395174312920519,Bad
1.7105656578455122,10.0,3.20973938656722,3.550902791147943,Bad
6.7540878106813915,3.370681364863835,3.4192585435938527,4.84992844612592,Bad
4.523885351553332,4.66619466934386,7.265884904838243,5.247922948663422,Good
5.035975662853538,4.4335232020569,7.78339162388404,4.726651350760997,Good
6.694232222449924,3.5400817739571107,3.8127083552663854,4.132728802431386,Bad
5.270610344545913,3.86277317312611,7.832956778975651,5.8687207262652095,Good
6.430777170911116,3.9410246516109564,4.734017321158356,3.3354661266066694,Bad
3.0935610808448164,3.2586498168341005,8.825552883523216,4.497513868366012,Good
4.08913200063579,6.265953482294595,3.239725132629107,4.549396049560852,Bad
2.3120032596616875,5.023811101679028,5.0116855675819485,6.46672292104296,Bad
7.076792607742234,4.400359811350155,2.749886236134606,3.7089872843227294,Bad
4.1332332358842745,4.81227572070803,8.465756780003069,2.6101001938960606,Good
6.589251855927807,5.30894078940481,1.1096167347602242,3.4728085887523363,Bad
5.920854119357487,6.503633177486038,2.1290202318611233,3.404983443974646,Bad
7.130881649915045,5.351114791796032,1.9133898590673222,2.7542588504689642,Good
3.2238864542234325,5.114947001377224,6.845117503136361,3.626495175965081,Good
6.422207070976461,5.1504954906803,7.87311327596878,4.3595524771682035,Good
4.060912146206885,5.803429002011484,4.359164826676809,4.505699345079062,Bad
3.3528795781255196,6.495167530557024,4.8772223356213225,4.320869965917601,Bad
5.959223087395093,4.4707693158231105,8.539530238720253,3.68148877271849,Good
3.376043219287912,8.314322693648666,2.827596209946885,3.52988492100218,Bad
6.014440060538673,4.041849721221452,5.309560306445379,3.5593866732126007,Bad
8.03155559335895,5.629496985102735,8.34774275235061,2.7156116197243714,Good
7.163901762470467,3.928944662566459,4.52036193224438,3.2410286537724953,Bad
3.2458442574992024,2.9315156779115332,6.948206601428051,6.11986560389333,Bad
6.01383917311516,4.735481578065187,3.218942653709771,3.7312237313109016,Bad
7.165182006792127,3.2008386903195762,3.2412064512094614,4.4384730689249885,Bad
5.159330752095244,5.493117711516435,7.439189514286257,3.181453666442099,Bad
2.7135917554067097,8.775914030421982,4.0313561281109385,3.6816815161471173,Bad
5.743215691593193,2.5669669025055564,8.893164636853504,7.531727055830642,Good
7.798292874167375,5.802993817778659,7.542381860350283,4.184835946684449,Good
7.5213697232450185,6.757592942856563,6.987740405109474,3.0499713197639067,Good
